Airline,Flight_Number,Route,Departure_Airport,Arrival_Airport,Departure_Time,Arrival_Time,Delay_Minutes,Cancelled,Cancellation_Reason,Ticket_Price,Passenger_Count,Aircraft_Type,Distance_km,On_Time_Percent,Class,Loyalty_Member,Baggage_Allowance,Fuel_Surcharge,Gate,Terminal,Crew_Size
Turkish Airlines,1529,AMS-NBO,ATL,SIN,2020-01-22 05:17,2020-01-22 15:49,44,No,,178.03,101,CRJ900,1879,65.48,First,No,No,27.32,G4,,13
Singapore Airlines,1842,ATL-LHR,ATL,ATL,2022-03-21 05:33,2022-03-21 16:05,82,No,,609.92,73,A320,6629,76.66,Business,No,2pc,23.58,,T1,18
American Airlines,2237,IST-AMS,LOS,ORD,2023-04-06 17:22,2023-04-07 00:15,-77,No,,357.46,220,A350,13997,100,Economy,No,2pc,14.42,E30,T1,6
Qatar Airways,9960,IST-JFK,CDG,ORD,2022-01-01 17:44,2022-01-01 19:11,60,No,,169.24,78,A350,7460,96.3,Economy,Yes,1pc,21.07,P16,T1,9
Air France,2071,DXB-AMS,,NBO,2023-10-19 23:00,2023-10-20 00:42,40,No,,387.37,45,A320,1707,86.42,Economy,Yes,20kg,26.03,X38,T1,4
Delta Air Lines,772,DXB-CDG,LOS,LOS,2022-04-09 12:32,2022-04-09 20:34,80,,,56.08,106,CRJ900,10650,89.11,Economy,No,1pc,24.19,V4,T3,16
American Airlines,9710,JFK-NBO,JFK,LOS,2022-10-21 02:38,2022-10-21 13:35,-32,No,,426.47,273,B737,4585,100,Economy,No,23kg,20.25,J25,,11
British Airways,3220,DOH-JFK,LAX,LHR,2022-07-27 02:42,2022-07-27 06:38,,No,,571.46,,A320,8700,100,Business,No,2pc,45.57,Z13,T1,4
South African Airways,3260,LOS-JFK,LAX,JFK,2024-12-14 15:25,2024-12-15 01:13,-14,No,,482.35,62,CRJ900,11105,100,First,Yes,2pc,36,S22,T3,15
Kenya Airways,7403,SIN-ORD,JFK,LHR,2024-11-14 20:49,2024-11-15 07:58,57,No,,781.54,184,A380,9551,91.01,First,Yes,23kg,51.92,E34,T4,6
Ethiopian Airlines,1716,LAX-DXB,ORD,LAX,2020-02-05 12:42,2020-02-05 21:55,13,No,,37.68,176,CRJ900,6086,100,,Yes,23kg,13.95,Y44,T3,18
Lufthansa,1326,ORD-JFK,IST,LAX,2022-03-23 14:48,2022-03-23 19:05,45,No,,375.39,37,B737,7740,81,Business,Yes,23kg,33.13,Q40,T3,4
Delta Air Lines,-,LHR-LOS,JFK,CDG,2025-07-23 22:09,,16,No,,81.3,4,A350,10189,91.39,Economy,No,No,25.65,F26,T1,12
Turkish Airlines,5718,LHR-ATL,ATL,LOS,2023-01-22 02:08,2023-01-22 12:44,-58,Yes,,315.36,294,A380,2509,100.0,Economy,Yes,1pc,30.2,A32,T3,17
South African Airways,5039,FRA-CDG,DOH,ATL,2022-01-04 03:59,2022-01-04 13:35,-109,No,,350.31,180,A320,5671,87.1,Business,Yes,1pc,48.51,C14,T3,7
Lufthansa,7869,LOS-FRA,SIN,IST,2020-07-12 00:19,2020-07-12 09:52,23,No,,805.97,139,CRJ900,7672,100,Business,Yes,,12.61,C47,T2,6
Kenya Airways,3409,DOH-IST,AMS,IST,2025-09-05 17:44,2025-09-05 19:05,4,No,,338.04,67,A320,8994,90.78,First,No,No,24.27,P22,T2,10
Emirates,8841,DOH-LOS,DOH,LAX,2021-01-02 07:29,2021-01-02 10:20,30,No,,334.31,185,B777,6271,100,Business,Yes,23kg,22.52,T37,T1,12
Qatar Airways,2617,FRA-LHR,LOS,,2023-12-16 22:21,2023-12-17 00:17,4,No,,551.03,72,A350,11535,100,Business,Yes,20kg,24.3,I4,T3,14
Emirates,817,IST-DOH,FRA,JFK,2022-08-11 05:08,2022-08-11 07:13,95,No,,339.44,246,B777,3026,96.81,Business,No,1pc,8.89,U27,T1,7
Emirates,2194,FRA-ORD,SIN,DXB,2021-05-11 05:20,2021-05-11 07:57,24,No,,716.23,173,B777,3350,100.0,Economy,Yes,No,42.85,Y25,T2,16
Lufthansa,3240,ORD-IST,ATL,FRA,2023-06-13 14:03,2023-06-13 17:26,-2,No,,483.94,3,A350,5368,84.24,First,No,23kg,43.25,K8,,12
Lufthansa,6951,DOH-SIN,SIN,ATL,2024-04-10 06:38,2024-04-10 14:52,28,No,,515.7,188,A380,2679,90.28,First,No,1pc,35.82,O6,T4,20
British Airways,9119,NBO-LOS,DOH,LHR,2022-08-24 04:11,2022-08-24 15:47,-2,No,,23.51,205,B737,9991,58.49,First,No,1pc,16.62,M24,T1,18
Qatar Airways,4237,LAX-NBO,AMS,SIN,2020-12-30 19:09,2020-12-30 21:34,18,No,,747.04,277,,8437,93.98,Economy,Yes,No,32.78,A48,,9
South African Airways,9280,ORD-DXB,LOS,LOS,2025-06-07 09:46,,-33,No,,218.71,257,B777,1103,100,First,Yes,No,38.66,P17,T2,11
Air France,5790,DXB-CDG,CDG,DOH,2022-07-05 15:35,,14,No,,348.05,31,B737,624,-,Business,No,20kg,33.88,A19,,10
Kenya Airways,6096,LHR-ATL,ATL,IST,2023-02-15 22:03,2023-02-16 03:56,-4,No,,219.46,261,A380,13063,100,Business,Yes,20kg,29.51,S23,T3,13
American Airlines,7447,CDG-LOS,LAX,SIN,2025-03-24 13:47,2025-03-25 00:17,-29,No,,145.15,140,CRJ900,10361,39.23,First,No,2pc,44.11,U3,T3,12
-,2023,ORD-FRA,CDG,AMS,2021-11-17 03:42,2021-11-17 15:31,94,No,,109.57,269,B777,3298,90.55,First,Yes,23kg,22.91,W33,T3,17
United Airlines,7245,DXB-AMS,ATL,IST,2021-11-11 19:24,2021-11-12 06:34,-28,No,,370.65,88,A380,4989,73.37,First,Yes,23kg,28.31,O43,T3,5
United Airlines,1209,SIN-LHR,ORD,FRA,2021-02-18 23:36,2021-02-19 04:38,15,No,,43.98,6,A320,12626,74.89,Business,No,2pc,36.26,W18,T2,6
Lufthansa,8010,FRA-SIN,SIN,ATL,2024-01-25 15:49,2024-01-26 02:09,-17,No,,301.44,224,B737,1349,100,Business,Yes,2pc,33.18,Y9,,8
American Airlines,6964,AMS-LOS,ATL,CDG,2021-04-20 22:20,2021-04-20 23:51,26,No,,561.55,80,B737,3848,100,Economy,No,20kg,35.6,M17,T1,16
Delta Air Lines,8681,LOS-LHR,LOS,LHR,2023-11-14 13:40,2023-11-14 21:10,-35,No,,476.39,241,CRJ900,12935,80.37,First,Yes,No,35.34,Z21,T3,7
Turkish Airlines,8355,LHR-LOS,LOS,LHR,2025-02-24 23:10,2025-02-25 04:46,48,No,,436.49,36,B777,7433,100,Business,No,No,35.25,A17,T2,12
British Airways,458,DXB-ORD,ATL,LHR,2023-03-06 19:29,2023-03-07 05:20,96,No,,170.92,77,CRJ900,4118,75.34,First,No,20kg,26.35,D20,,8
British Airways,2835,AMS-ATL,LHR,FRA,2023-07-15 23:41,2023-07-16 03:14,-18,No,,32.78,200,B737,4314,91.76,Economy,Yes,23kg,23.02,F1,,5
American Airlines,9916,FRA-AMS,,LAX,2024-09-02 09:53,2024-09-02 17:15,63,No,,558.36,96,CRJ900,5788,80.76,Economy,No,2pc,31.37,B25,,9
Emirates,4591,DXB-LOS,LHR,LOS,2024-01-02 19:29,2024-01-02 21:36,0,No,,260.21,105,B737,4613,85.45,Economy,No,2pc,45.11,T43,,15
British Airways,2212,AMS-LAX,CDG,IST,2024-07-28 00:13,2024-07-28 04:46,75,No,,333.38,157,CRJ900,2306,84.65,First,No,2pc,29.75,B11,T4,7
Qatar Airways,,ORD-CDG,ORD,,2025-08-25 06:28,2025-08-25 18:22,102,No,,310.48,16.0,B777,4885,,Business,Yes,23kg,35.99,Q38,T4,16
British Airways,844,ATL-IST,NBO,SIN,2021-11-09 13:57,2021-11-09 21:12,5,No,,484.48,94,CRJ900,8036,85.78,Economy,Yes,20kg,31.12,F31,T4,8
Qatar Airways,9376,ATL-LOS,ATL,CDG,2022-02-07 20:21,2022-02-08 00:53,-45,No,,718.66,108,A380,13836,,First,,20kg,50.34,U45,T3,
Lufthansa,1096,LHR-FRA,LOS,LHR,2025-10-14 17:58,2025-10-14 20:16,,No,,642.47,250,A320,14486,100,Economy,No,20kg,28.62,G15,T2,11
United Airlines,,ORD-LAX,LOS,LAX,2025-01-25 03:08,2025-01-25 14:35,52,No,,116.45,271,A380,13606,95.91,Economy,No,23kg,36.03,Q4,,17
Ethiopian Airlines,6612,NBO-DXB,NBO,CDG,2020-09-11 08:41,2020-09-11 19:44,23,No,,288.29,53,A320,12588,57.45,First,No,1pc,22.81,C3,T3,
South African Airways,8210,SIN-DOH,IST,CDG,2024-06-20 16:36,2024-06-20 23:56,35,No,,80.65,127,A350,1770,85.29,First,No,23kg,18.8,T32,,6
,8823,LHR-ATL,SIN,LAX,2023-10-19 23:56,2023-10-20 01:53,1,No,,537.69,77,A350,1272,72.86,First,No,2pc,29.93,K6,T2,8
Turkish Airlines,8512,LOS-NBO,JFK,AMS,2024-06-28 23:26,2024-06-29 00:51,-20,No,,350.8,208,B737,5866,100,Economy,NO,1pc,41.81,T49,T3,5
Emirates,1328,AMS-LOS,DOH,LAX,2023-01-29 00:38,2023-01-29 09:04,61,No,,471.23,240,CRJ900,14549,100,First,No,No,36.34,E11,T2,
United Airlines,2811,JFK-ORD,DOH,LAX,2020-08-30 15:45,2020-08-30 17:50,27,No,,271.18,81,A380,5355,100,Business,No,23kg,9.14,Q39,T3,18
American Airlines,7272,,NBO,DXB,2024-10-18 19:28,2024-10-19 00:41,-42,No,,142.13,231,B737,8685,100,First,No,,37.33,X21,T4,6
Lufthansa,8444,LHR-LAX,LHR,DXB,2020-12-14 14:53,2020-12-14 16:36,42,No,,176.34,126,A350,3242,100,Business,Yes,1pc,14.69,F14,T1,16
Turkish Airlines,6393,LOS-DXB,ORD,DOH,2020-07-10 21:00,2020-07-10 23:36,34,No,,43.4,124,CRJ900,14249,86.5,Economy,No,No,38.4,W21,T2,20
Qatar Airways,9315,LHR-LAX,DXB,SIN,2024-08-28 11:41,2024-08-28 21:54,1,Yes,,97.27,79,A380,3161,95.34,First,Yes,1pc,35.44,F45,,19
British Airways,6493,DOH-NBO,AMS,SIN,2024-04-19 11:50,2024-04-19 16:36,79,No,,55.14,209,A380,1284,76.87,Business,No,20kg,28.5,,T3,7
Air France,6667,ORD-DOH,LOS,IST,2021-09-20 01:54,2021-09-20 10:09,,No,,142.86,64,B737,,94.66,First,Yes,1pc,37.27,I22,T4,9
Delta Air Lines,4548,LHR-ATL,FRA,CDG,2024-11-14 07:43,2024-11-14 18:43,8,No,,131.54,229,A320,2055,100,Economy,Yes,20kg,27.36,T30,T2,18
United Airlines,3490,DXB-LHR,NBO,IST,2024-07-25 08:16,2024-07-25 15:34,45,No,,428.82,228,B737,13743,83.35,First,Yes,1pc,31.49,I45,,5
Delta Air Lines,3115,,FRA,IST,2021-04-10 13:48,2021-04-10 17:45,18,No,,420.97,219,A320,9469,100,Business,Yes,No,15.62,O33,T2,18
Air France,158,LOS-ATL,NBO,FRA,2021-05-26 04:46,2021-05-26 12:52,-40,No,,428.6,224.0,B737,5659,86.78,Business,Yes,1pc,27.44,G16,T3,12
Kenya Airways,2721,JFK-AMS,DXB,LAX,,2022-10-16 16:19,22,No,,585,149,B777,1580,100,First,Yes,20kg,39.24,P41,T2,17
Delta Air Lines,9469,JFK-LAX,LOS,AMS,2024-06-04 15:28,2024-06-05 00:51,-1,No,,334.33,222,B777,7484,86.51,Economy,Yes,20kg,16.69,A4,T3,18
American Airlines,3668,,IST,DXB,2023-10-04 18:01,2023-10-04 23:28,49,No,,193.84,171,A320,1708,100,Business,Yes,2pc,38.19,O49,T1,14
KLM,9801,FRA-JFK,DOH,ATL,2020-12-27 03:29,2020-12-27 14:14,21,No,,792.28,259,B777,13015,78.33,Business,No,1pc,9.81,B30,T3,14
Delta Air Lines,245,CDG-LOS,DXB,LAX,2025-10-14 14:29,2025-10-14 15:36,18,No,,531.13,260,A320,10090,89.44,First,YES,2pc,18.1,O35,T2,6
American Airlines,8501,JFK-NBO,JFK,AMS,2021-09-30 03:50,2021-09-30 13:17,-26,No,,380.46,63,CRJ900,231,95.16,First,Yes,2pc,26.85,M37,,5
KLM,7561,IST-LOS,ATL,JFK,2024-12-16 18:38,2024-12-17 03:33,5,No,,366.57,297,,7588,100,Economy,Yes,23kg,31.54,T16,T4,9
KLM,8354,LOS-ORD,NBO,ORD,2024-02-27 17:39,2024-02-27 23:35,53,No,,407.93,149,B737,13681,62.84,Economy,Yes,23gk,,D11,T2,19
United Airlines,8702,LOS-CDG,CDG,NBO,2020-10-09 13:06,2020-10-09 16:49,-16,NO,,309.58,197,A380,626,100,Economy,No,No,24,F5,T3,5
Ethiopian Airlines,4340,ORD-DOH,ORD,ATL,2024-05-04 16:20,2024-05-05 01:24,13,No,,375.64,275,A350,7323,86.06,Business,Yes,2pc,41.07,Y17,,15
Turkish Airlines,5071,LHR-AMS,IST,-,2023-10-16 01:35,2023-10-16 12:31,-22,No,,449.88,228,A320,7674,100,Economy,Yes,No,41.89,D2,,13
Turkish Airlines,3709,DXB-LAX,LHR,DOH,2020-06-21 20:30,2020-06-21 22:41,-32,No,,204.69,234,CRJ900,7935,33.34,Business,No,No,25.76,C8,T1,5
Kenya Airways,4955,DXB-FRA,ATL,ORD,2023-11-09 18:21,2023-11-10 04:47,11,Yes,,23.18,150,B777,10901,87.76,Business,No,No,26.06,X6,,6
Singapore Airlines,4499,ATL-LOS,LHR,ATL,2021-02-13 22:28,2021-02-14 08:46,21,No,,65.13,298,A380,7203,99.22,First,Yes,20kg,27.13,F16,,9
Ethiopian Airlines,9146,ATL-ORD,SIN,NBO,2024-05-13 14:31,2024-05-13 19:28,94,No,,527.58,77,B777,11135,80.91,First,No,20kg,52.18,N15,T3,18
Ethiopian Airlines,2051,LOS-LHR,ATL,DXB,2023-07-14 16:18,2023-07-14 19:01,-3,No,,33.42,294,B777,10124,78.75,Business,Yes,No,30.17,D40,T3,9
Air France,2903,DXB-CDG,DOH,LAX,2023-11-20 05:21,2023-11-20 09:50,12,No,,443.07,148,A320,3434,84.08,Economy,Yes,No,45.71,C50,T1,13
Turkish Airlines,3768,LOS-SIN,NBO,LOS,2024-10-18 00:15,2024-10-18 10:28,-35,No,,119.13,137,B737,13744,94.85,Economy,Yes,23kg,37.32,I41,T2,6
Qatar Airways,847,DXB-IST,LOS,LHR,2020-06-28 09:09,2020-06-28 17:56,39,No,,122.35,99,A380,14462,83.39,Economy,Yes,20kg,28.95,A8,T1,11
Lufthansa,8841,ORD-AMS,ATL,LOS,2024-10-02 02:56,2024-10-02 11:29,30,No,,206.36,37,B777,2116,92.33,Economy,Yes,20kg,23.53,U29,T3,12
Qatar Airways,4002,LHR-ATL,LOS,IST,2023-12-07 13:25,2023-12-07 18:52,74,No,,388.83,103,A350,3632,90.38,First,No,2pc,37.79,X20,T2,20
Singapore Airlines,4881,DOH-NBO,LOS,SIN,,2025-09-21 12:36,59,No,,92.28,,A380,1792,100,Economy,No,2pc,22.14,S28,T2,19
Emirates,740,LAX-DOH,FRA,DOH,2022-08-15 10:47,2022-08-15 18:13,29,No,,226.61,250,A320,13198,100,Economy,Yes,20kg,26.13,A30,T1,15
Ethiopian Airlines,2527,ATL-LHR,LOS,LAX,2020-03-08 15:19,2020-03-08 20:37,-3,Yes,,344.86,177,B777,14090,81.55,Business,No,1pc,36.59,L31,,7
South African Airways,4650,ORD-DOH,LAX,CDG,2023-05-15 04:04,2023-05-15 09:46,23,Yes,,107.95,253,B737,6609,80.91,Business,No,No,27.59,Y17,T4,19
Kenya Airways,2278,LOS-FRA,ATL,AMS,2022-03-01 13:42,2022-03-02 01:07,10,No,,635.65,80.0,B777,14974,70.55,Economy,No,1pc,26.05,G42,T1,18
South African Airways,4530,DXB-AMS,LOS,DXB,2020-01-10 08:50,2020-01-10 10:29,53,No,,5.49,,CRJ900,14349,89.27,Business,Yes,1pc,26.92,N2,T2,
British Airways,944,NBO-JFK,FRA,AMS,2021-11-07 23:53,2021-11-08 08:58,48,No,,306.37,209,CRJ900,5078,93.24,Economy,Yes,No,23.13,K23,T4,
American Airlines,4179,SIN-JFK,LOS,SIN,2024-12-01 18:00,2024-12-01 22:39,3,No,,604.51,258,A350,5323,100,First,Yes,2pc,34.49,C1,,6
South African Airways,3540,IST-DXB,LOS,NBO,2020-08-14 21:28,2020-08-15 00:36,-43,No,,85.11,133,A380,4194,90.59,Economy,Yes,20kg,30.36,M11,T1,9
South African Airways,8858,DXB-AMS,SIN,IST,2020-05-20 17:03,2020-05-21 02:42,68,No,,328.07,2,A380,9269,84.6,Business,Yes,1pc,16.44,T19,T2,13
Air France,,LOS-DXB,LAX,LAX,2023-08-09 09:10,2023-08-09 20:22,38,No,,376.57,169,A320,3418,100,First,Yes,23kg,25.13,O35,,7
Turkish Airlines,122,LAX-ATL,LAX,LOS,2022-12-06 09:56,,2,No,,188.65,,A320,3364,73.96,Economy,Yes,1pc,26.33,R2,T2,17
United Airlines,5792,NBO-LHR,CDG,AMS,2020-07-17 02:17,2020-07-17 13:29,36,No,-,334.5,207,A350,6757,100,Business,Yes,23kg,26.26,W41,T4,17
American Airlines,6147,,LOS,IST,2024-08-08 08:04,2024-08-08 13:23,,No,,462.29,216,CRJ900,14776,92.94,Economy,Yes,2pc,35.99,-,,13
Singapore Airlines,5417,ATL-FRA,LOS,LHR,2020-07-06 04:59,2020-07-06 12:04,,No,,,224,A320,5049,81.03,Business,Yes,2pc,22.98,V19,T3,16
South African Airways,1463,JFK-LOS,DXB,ORD,2020-08-02 10:26,2020-08-02 20:29,17,No,,502.87,256,B737,2843,90.11,First,No,2pc,57.04,Y7,T1,
Ethiopian Airlines,9099,LOS-SIN,LOS,FRA,2024-01-06 16:10,2024-01-07 03:58,67,No,,428.55,107,A380,5914,68.95,,Yes,No,43.86,Z28,T4,14
Air France,4426,IST-LOS,SIN,DOH,2020-04-08 14:19,2020-04-09 00:02,-62,No,,233.42,95,A320,5482,80.57,Economy,No,2pc,-,P30,T2,14
American Airlines,2289,LAX-DXB,JFK,DXB,2022-06-10 23:02,2022-06-11 00:17,0,No,,575.49,16,B777,332,,Economy,No,2pc,19.66,T29,T2,8
Air France,6790,IST-DOH,IST,DXB,2023-06-24 07:19,2023-06-24 10:27,78,No,-,201.81,97,B777,14212,100,Business,No,23kg,9.69,T40,T1,13
Lufthansa,4931,CDG-LOS,ATL,NBO,2021-07-13 04:22,2021-07-13 14:56,37,No,,521.18,38,A380,3852,75.06,Economy,No,23kg,26.61,P22,T2,9
Kenya Airways,5418,CDG-AMS,LOS,SIN,2021-02-24 18:18,2021-02-24 21:06,85,No,,205.4,203,A320,6110,100,Business,Yes,1pc,32.94,E22,T1,16
Kenya Airways,1038,LHR-IST,CDG,LOS,2025-06-16 03:34,2025-06-16 13:26,-33,No,,286.79,63,B737,4211,77.22,Business,No,1pc,28.38,Y10,T2,13
Ethiopian Airlines,270,ORD-CDG,DOH,LHR,2025-06-29 16:21,2025-06-29 21:49,57,No,,317.47,105,A380,4182,82.65,First,-,No,24.7,G9,T1,15
South African Airways,5924,DOH-NBO,LOS,DXB,2023-07-30 00:27,2023-07-30 04:08,,No,,417.72,54,A380,11576,92.98,Business,No,2pc,12.59,L15,T4,
Air France,3692,DXB-CDG,JFK,DXB,2023-03-09 09:49,2023-03-09 15:08,55,No,,132.69,247,CRJ900,12286,75.7,Business,No,2pc,23.28,I4,T3,14
Air France,4682,LOS-IST,FRA,DOH,2023-04-03 07:44,2023-04-03 10:25,-52,No,,441.6,230,B737,12444,82.18,Economy,Yes,20kg,27.57,Q28,T4,11
Emirates,2995,LOS-ORD,ATL,DOH,2023-10-25 13:21,2023-10-25 22:46,3,No,,329.5,7,B777,12069,85.07,First,Yes,2pc,25.05,F13,T4,4
Emirates,4294,DXB-JFK,DXB,ORD,2023-03-18 20:10,2023-03-19 06:40,10,No,,407.15,174,A380,3064,100,Business,Yes,20kg,24.99,R39,T1,
United Airlines,356,LHR-DOH,DOH,IST,2023-03-13 02:09,2023-03-13 07:15,-49,No,,450.5,124,CRJ900,13558,89.4,First,Yes,23kg,22.02,R41,T1,12
Singapore Airlines,8904,LOS-LHR,ATL,AMS,2020-09-06 07:52,2020-09-06 19:31,4,No,,428.76,154,B737,12205,100,Business,Yes,No,46.55,U18,T4,19
Turkish Airlines,9656,DXB-NBO,IST,,2025-10-22 04:03,2025-10-22 13:59,49,No,,51.47,21,A380,1650,100,Ecoonmy,Yes,2pc,37.08,O12,,8
,1843,ATL-LAX,AMS,LHR,2025-08-18 02:49,2025-08-18 05:59,0,No,,137.8,106,CRJ900,741,95.42,Business,No,23kg,39.56,T21,,20
Qatar Airways,6358,LAX-DOH,ORD,CDG,2024-08-02 13:08,2024-08-02 20:00,24,No,,416.56,283,A380,1842,68.05,Economy,No,2pc,32.73,G1,T1,7
KLM,4316,ATL-AMS,JFK,ORD,2021-02-17 04:26,2021-02-17 08:41,24,No,,389.94,273,A350,2829,84.52,Economy,No,23kg,16.65,O37,,10
United Airlines,9125,ORD-LAX,DOH,ORD,2025-07-23 11:02,2025-07-23 18:23,14,No,,192.09,-,CRJ900,5726,83.53,Business,Yes,23kg,37.38,S16,T4,15
Ethiopian Airlines,3477,NBO-AMS,AMS,NBO,2022-12-16 11:36,2022-12-16 23:20,-13,No,,497.53,96,A380,5113,78.44,First,Yes,No,43.48,Z50,T1,4
Kenya Airways,7344,DOH-LAX,JFK,LHR,2021-01-03 13:55,2021-01-03 18:41,41,No,,298.71,102,-,11637,100,First,No,20kg,44.94,E21,,11
Qatar Airways,3714,LOS-LHR,,ORD,2021-07-08 11:57,2021-07-08 20:52,-48,No,,527.15,52,A320,6810,100,Economy,Yes,1pc,36.24,T37,T2,6
South African Airways,5412,FRA-LHR,ORD,DXB,2024-07-27 04:53,2024-07-27 13:49,15,No,,592,,A380,7591,100,Business,,2pc,30.01,E38,,11
Singapore Airlines,4503,IST-ORD,SIN,ATL,2023-05-06 04:34,2023-05-06 09:58,,No,,405.66,49,B737,5565,86.53,First,Yes,20kg,29.98,T2,,19
Qatar Airways,3441,NBO-LAX,FRA,ATL,2024-07-01 01:21,2024-07-01 08:32,-2,No,,461.11,262,B737,12803,75.2,First,Yes,23KG,35.19,A7,T1,13
Air France,9629,LAX-LHR,ORD,IST,2021-01-30 15:41,2021-01-31 00:46,-14,No,,228.31,8,B777,14221,76.31,First,Yes,20kg,13.59,N33,T3,12
Air France,6579,DOH-CDG,SIN,LHR,2021-11-22 20:59,2021-11-23 05:12,,No,,528.44,53,CRJ900,9960,100,First,Yes,2pc,36.39,V47,T2,
Delta Air Lines,2650,LOS-LAX,ATL,LHR,2020-01-11 18:59,2020-01-12 06:44,44,No,,393.62,203,A380,1330,69.67,First,Yes,,25.14,,T1,9
American Airlines,7408,LHR-DXB,ORD,NBO,2020-03-11 15:16,2020-03-11 19:46,21,No,,291.06,206,A320,4987,59.35,Economy,Yes,23kg,52.09,U6,T4,5
Air France,3896,ORD-LAX,DOH,IST,2022-07-15 23:33,2022-07-16 10:04,44,,,106.24,143,A350,9691,80.89,Economy,Yes,No,27,G48,T3,18
American Airlines,7209,AMS-NBO,NBO,ORD,2023-12-09 12:04,2023-12-09 19:20,16,No,,252.91,276,B777,9846,67.69,,No,2pc,31.95,J18,T2,18
Qatar Airways,6139,ORD-LOS,LOS,CDG,2025-09-23 11:47,2025-09-23 19:21,-80,No,,128.1,5,A380,11153,76.9,Business,No,2pc,31.45,U50,T1,5
Air France,2530,LAX-LOS,JFK,DOH,2024-08-18 12:47,2024-08-18 21:16,62,No,,502.3,80,A350,10117,93.45,First,Yes,No,23.08,H36,T2,16
Air France,7948,AMS-ORD,JFK,JFK,2023-08-10 17:16,2023-08-11 00:19,97,No,,594.09,-,B737,6068,99.97,-,No,23kg,34.57,A47,T3,6
Singapore Airlines,,NBO-IST,DOH,JFK,2024-07-10 15:50,2024-07-11 00:26,66,No,,533.25,216,A380,14111,100,Business,Yes,2pc,33.42,M47,T2,20
United Airlines,8225,DXB-FRA,LAX,ATL,2023-03-24 08:54,,-126,No,,-,69,A350,9552,96.67,Business,No,23kg,40.23,Y49,T2,5
Lufthansa,3073,IST-LOS,DXB,JFK,2021-12-14 12:59,2021-12-14 16:09,33,No,,257.92,275,B737,12700,93.55,Economy,Yes,1pc,37.2,D29,T2,11
South African Airways,7626,FRA-CDG,CDG,DOH,2022-02-07 23:50,2022-02-08 10:37,-3,No,,469.31,29,B777,14166,93.22,First,No,23kg,31.87,P32,T2,
Qatar Airways,3131,JFK-ATL,LOS,ATL,2023-12-02 02:42,2023-12-02 11:37,-,No,,113.73,61,A380,12595,91.69,Business,No,No,21.81,W35,,7
Turkish Airlines,2985,ORD-NBO,-,IST,2022-12-11 11:32,2022-12-11 17:08,19,No,-,310.55,113,A380,7556,100,Economy,No,No,22.1,B3,T3,9
Turkish Airlines,3194,LHR-LAX,IST,LOS,2021-04-26 22:41,2021-04-27 02:16,9,-,,54.53,256,CRJ900,7920,78.31,First,Yes,20kg,46.57,E20,T3,20
United Airlines,9433,NBO-ATL,SIN,CDG,2022-05-06 09:56,2022-05-06 14:33,35,No,,463.64,270,,892,76.57,Business,No,1pc,30.87,H47,,5
British Airways,8136,IST-SIN,ORD,ATL,,2021-08-08 18:16,,No,,278.9,187,B737,4008,84.43,Business,No,23kg,50.77,P21,T2,6
American Airlines,3055,DOH-LAX,ORD,ATL,2020-12-16 14:18,2020-12-16 22:14,17,No,,60.92,99,B737,1761,100,Economy,No,2pc,21.82,T20,T4,8
KLM,4721,SIN-LHR,AMS,JFK,2020-04-10 02:17,2020-04-10 12:22,-29,No,,213,36.0,A320,11716,84.5,First,Yes,No,51.94,O46,T4,18
Singapore Airlines,444,SIN-IST,AMS,,2025-08-13 03:54,2025-08-13 05:34,-8,No,,708.62,56,B777,13384,89.66,Economy,No,1pc,20.56,S43,T3,18
Ethiopian Airlines,5181,LOS-IST,DXB,LOS,2023-07-26 12:50,2023-07-26 18:56,-14,No,,432.09,181,B737,8065,82.88,Economy,Yes,1pc,25.62,U12,T4,5
South African Airways,,LHR-DOH,LOS,SIN,2025-03-25 11:59,2025-03-25 18:36,-53,No,,503.82,-,CRJ900,230,66.73,Business,Yes,1pc,34.42,Z13,T1,19
American Airlines,3011,LOS-FRA,FRA,FRA,2020-02-18 14:38,2020-02-18 20:51,-39,No,,375.11,123,A350,6104,92.68,Economy,Yes,2pc,39.98,P3,T3,6
Qatar Airways,6558,LHR-LOS,NBO,DOH,2022-01-17 17:22,2022-01-17 19:36,,No,,,288,A380,7222,87.28,Economy,,20kg,36.78,N50,,13
British Airways,3177,DOH-DXB,LOS,LHR,2021-10-02 06:33,2021-10-02 12:11,71,No,,353.12,247,B777,8930,100,Economy,No,2pc,10.87,H9,T2,17
Kenya Airways,1237,DOH-LHR,FRA,SIN,,2020-07-28 05:29,-6,No,,399.09,278,A320,10979,76.17,First,No,No,24.28,O3,T1,9
American Airlines,2451,CDG-SIN,DXB,NBO,2020-11-09 11:24,2020-11-09 16:56,-15,,,130.67,48,,12087,79.46,First,Yes,No,18.54,V43,T2,18
South African Airways,1280,LOS-NBO,LAX,DXB,2025-01-19 07:41,2025-01-19 19:00,-32,No,,502.61,184,A320,2263,86.75,First,Yes,No,16.19,T30,T3,13
Lufthansa,7086,LOS-CDG,ORD,ORD,2020-04-14 07:37,2020-04-14 19:27,16,No,,574.37,248,A350,6257,100,Economy,Yes,1pc,29.84,U42,,18
British Airways,4118,LOS-NBO,ATL,FRA,2023-10-19 01:03,2023-10-19 06:51,62,No,,310.68,125,B777,9241,100,First,Yes,No,8.88,V49,,12
